Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_Suma,Trimestre_Año
Neuquén,1531,3206,79087,920,2289,20,30,0,87083,2014 2
Río Negro,3468,5507,84978,780,1569,20,8,0,96330,2014 2
Salta,530,18818,64440,8293,3880,0,0,0,95961,2014 2
San Juan,100,5070,51129,0,0,0,0,0,56299,2014 2
San Luis,70,0,13045,0,0,10,2,0,13127,2014 2
Santa Cruz,1530,1637,25374,20,0,0,0,0,28561,2014 2
Santa Fe,8515,115197,353559,23939,10058,340,792,0,512400,2014 2
Santiago Del Estero,1231,9914,23842,2867,1420,0,0,0,39274,2014 2
Tierra Del Fuego,120,3340,31198,20,0,0,0,0,34678,2014 2
Tucumán,60,32714,84675,14101,5590,40,0,0,137180,2014 2
Buenos Aires,8469,171244,2279875,121787,38923,2060,4037,0,2626395,2014 1
Capital Federal,8520,88826,1096050,70293,38798,550,6208,0,1309245,2014 1
Catamarca,190,9147,13330,1672,640,0,0,0,24979,2014 1
Chaco,4380,15849,40869,4644,7410,50,0,0,73202,2014 1
Chubut,7452,100,61329,0,0,0,0,0,68881,2014 1
Córdoba,2076,107705,423114,24112,9818,400,588,0,567813,2014 1
Corrientes,200,16357,40742,4486,6300,0,0,0,68085,2014 1
Entre Ríos,2177,35206,85248,10828,7460,0,43,0,140962,2014 1
Formosa,2062,8475,13685,1133,670,0,0,0,26025,2014 1
Jujuy,1832,11498,18415,2002,560,0,0,0,34307,2014 1
La Pampa,7434,6535,32501,170,50,40,10,0,46740,2014 1
La Rioja,100,5111,9390,1165,350,0,0,0,16116,2014 1
Mendoza,350,60,166655,190,100,60,9,0,167424,2014 1
Misiones,5450,1446,52852,5139,9580,0,0,0,74467,2014 1
Neuquén,4133,9870,77148,840,1582,20,22,0,93615,2014 1
Río Negro,467,4618,84304,730,1062,10,8,0,91199,2014 1
Salta,530,19677,64061,7192,3140,0,0,0,94600,2014 1
San Juan,5310,20,51056,0,0,0,0,0,56386,2014 1
San Luis,70,30,12544,0,10,0,2,0,12656,2014 1
Santa Cruz,1610,1625,24972,10,10,0,0,0,28227,2014 1
Santa Fe,8456,124468,345225,20328,6845,230,668,0,506220,2014 1
Santiago Del Estero,1234,10531,22817,2422,1090,0,0,0,38094,2014 1
Tierra Del Fuego,120,6070,30902,60,0,0,0,0,37152,2014 1
Tucumán,60,34672,83210,11779,3620,30,0,0,133371,2014 1
