Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_Suma,Trimestre_Año
San Luis,100,80,12720,0,10,0,2,0,12912,2015 1
Santa Cruz,2050,270,26048,20,0,0,0,0,28388,2015 1
Santa Fe,6883,93096,360964,4527,27597,1542,900,0,495509,2015 1
Santiago Del Estero,7010,9236,23136,4796,7480,0,0,0,51658,2015 1
Tierra Del Fuego,140,6090,36319,20,0,0,0,0,42569,2015 1
Tucumán,1070,27143,83895,23061,3722,3340,0,0,142231,2015 1
Buenos Aires,8226,132937,2250445,20362,104322,9970,5406,0,2531668,2014 4
Capital Federal,2698,62896,1038269,123451,95772,8900,7997,0,1339983,2014 4
Catamarca,210,8047,14093,291,4210,0,1,0,26852,2014 4
Chaco,4830,12837,42106,7908,26,1240,2,0,68949,2014 4
Chubut,1858,6218,60392,700,0,0,0,0,69168,2014 4
Córdoba,1903,85362,427844,41947,30858,1177,782,0,589873,2014 4
Corrientes,400,1386,42182,7513,2106,0,9,0,53596,2014 4
Entre Ríos,2311,27801,88649,18318,3584,10,66,0,140739,2014 4
Formosa,1947,783,14058,1852,4730,470,1,0,23841,2014 4
Jujuy,188,10427,19740,3443,4650,0,0,0,38448,2014 4
La Pampa,6266,6879,36520,260,50,40,10,0,50025,2014 4
La Rioja,90,4333,9728,1943,3860,0,3,0,19957,2014 4
Mendoza,3030,190,169222,360,140,50,12,0,173004,2014 4
Misiones,5470,1184,53093,8731,2952,540,12,0,71982,2014 4
Neuquén,1731,2744,80938,1260,3621,20,66,0,90380,2014 4
Río Negro,364,4723,85094,940,2319,40,30,0,93510,2014 4
Salta,540,16214,63221,12552,1922,0,4,0,94453,2014 4
San Juan,110,4780,51628,0,0,0,2,0,56520,2014 4
San Luis,90,0,13135,0,0,10,2,0,13237,2014 4
Santa Cruz,1560,14,24145,10,10,0,0,0,25739,2014 4
Santa Fe,8707,99962,359293,36718,21098,8690,824,0,535292,2014 4
Santiago Del Estero,1246,8913,24181,4359,6020,0,0,0,44719,2014 4
Tierra Del Fuego,120,2830,31489,20,0,0,0,0,34459,2014 4
Tucumán,170,28746,85091,20631,2733,1960,0,0,139331,2014 4
Buenos Aires,7355,128187,2281524,156693,68947,2430,4232,0,2649368,2014 3
Capital Federal,8400,78016,1060145,10217,70907,950,6626,0,1235261,2014 3
Catamarca,190,8845,13790,1915,1110,0,0,0,25850,2014 3
Chaco,3980,14731,41934,5428,1274,50,0,0,67397,2014 3
Chubut,2013,6281,60771,340,0,0,0,0,69405,2014 3
Córdoba,6600,98992,435692,28992,18888,840,664,0,590668,2014 3
Corrientes,210,15448,41717,5181,1172,0,0,0,63728,2014 3
Entre Ríos,1709,2971,91450,12569,131,0,48,0,108878,2014 3
Formosa,2001,8323,14202,1324,850,0,0,0,26700,2014 3
Jujuy,1270,10979,20216,2305,820,0,0,0,35590,2014 3
La Pampa,6458,6645,41009,240,50,40,10,0,54452,2014 3
La Rioja,100,4785,9720,1337,610,0,0,0,16552,2014 3
Mendoza,350,0,167763,310,120,130,1,0,168674,2014 3
Misiones,6400,13637,53510,5928,1606,0,1,0,81082,2014 3
Neuquén,1522,3099,80090,1070,2865,100,27,0,88773,2014 3
Río Negro,364,5189,86868,870,1944,80,9,0,95324,2014 3
Salta,7320,17481,66026,8314,3880,0,0,0,103021,2014 3
San Juan,80,4870,51276,0,0,0,0,0,56226,2014 3
San Luis,80,0,13029,0,0,30,0,0,13139,2014 3
Santa Cruz,1950,1624,24248,10,10,0,0,0,27842,2014 3
Santa Fe,823,112593,357615,23962,12124,380,806,0,508303,2014 3
Santiago Del Estero,7910,9914,23826,2867,1420,0,0,0,45937,2014 3
Tierra Del Fuego,120,3360,32348,20,0,0,0,0,35848,2014 3
Tucumán,60,32716,84668,14101,5590,40,0,0,137175,2014 3
Buenos Aires,6902,162274,2288772,140226,56549,2840,4309,0,2661872,2014 2
Capital Federal,8470,81431,1078213,87359,56004,590,6427,0,1318494,2014 2
Catamarca,190,8844,13794,1915,1110,0,0,0,25853,2014 2
Chaco,4120,14854,41530,5418,1085,50,0,0,67057,2014 2
Chubut,2064,6582,61868,0,0,0,0,0,70514,2014 2
Córdoba,2105,101598,429536,28698,14824,760,627,0,578148,2014 2
Corrientes,200,15563,41219,5199,9560,0,0,0,71741,2014 2
Entre Ríos,2187,32781,86757,12564,1162,0,44,0,135495,2014 2
Formosa,2032,8218,13944,1321,850,0,0,0,26365,2014 2
Jujuy,1873,11233,18851,2305,820,0,0,0,35082,2014 2
La Pampa,7032,6761,34089,180,50,40,10,0,48162,2014 2
La Rioja,100,4785,9719,1337,610,0,0,0,16551,2014 2
Mendoza,350,60,166710,310,100,50,10,0,167590,2014 2
Misiones,5400,13644,53245,5924,1334,20,0,0,79567,2014 2
